,1,2,3,4,5
0,x4,x3,x5,x2,x1
1,x3,x5,x4,x1,x2
2,x3,x5,x4,x2,x1
3,x3,x5,x2,x4,x1
4,x3,x5,x2,x4,x1
5,x3,x5,x4,x1,x2
6,x3,x5,x4,x1,x2
7,x5,x1,x4,x3,x2
8,x3,x1,x5,x4,x2
9,x3,x1,x4,x5,x2
10,x3,x5,x2,x4,x1
11,x3,x4,x5,x2,x1
12,x3,x4,x2,x1,x5
13,x3,x5,x4,x1,x2
14,x3,x4,x5,x1,x2
15,x3,x5,x4,x2,x1
16,x3,x4,x5,x2,x1
17,x3,x1,x4,x5,x2
18,x3,x4,x5,x2,x1
19,x3,x4,x5,x1,x2
20,x4,x3,x1,x2,x5
21,x3,x5,x4,x1,x2
22,x3,x5,x4,x2,x1
23,x1,x3,x4,x5,x2
24,x3,x5,x4,x1,x2
25,x3,x4,x5,x2,x1
26,x3,x5,x4,x2,x1
27,x3,x1,x4,x5,x2
28,x3,x5,x4,x2,x1
29,x5,x3,x4,x2,x1
30,x3,x4,x5,x2,x1
31,x3,x5,x4,x1,x2
32,x3,x5,x4,x1,x2
33,x3,x4,x2,x5,x1
34,x3,x5,x4,x1,x2
35,x3,x4,x1,x5,x2
36,x5,x3,x4,x1,x2
37,x2,x3,x4,x5,x1
38,x3,x1,x5,x4,x2
39,x3,x4,x5,x1,x2
40,x3,x5,x2,x4,x1
41,x5,x3,x1,x4,x2
42,x5,x3,x4,x2,x1
43,x4,x3,x1,x5,x2
44,x3,x4,x5,x1,x2
45,x3,x4,x5,x2,x1
46,x3,x5,x4,x1,x2
47,x3,x5,x4,x1,x2
48,x3,x5,x4,x1,x2
49,x2,x3,x4,x5,x1
50,x3,x4,x5,x2,x1
51,x3,x5,x4,x1,x2
52,x3,x5,x4,x1,x2
53,x3,x4,x5,x2,x1
54,x3,x2,x4,x5,x1
55,x3,x4,x5,x2,x1
56,x3,x4,x5,x2,x1
57,x3,x4,x5,x1,x2
58,x3,x5,x4,x1,x2
59,x4,x3,x2,x5,x1
60,x3,x5,x1,x4,x2
61,x3,x4,x2,x5,x1
62,x3,x5,x4,x1,x2
63,x3,x5,x4,x2,x1
64,x5,x1,x3,x4,x2
65,x3,x5,x4,x2,x1
66,x3,x4,x2,x5,x1
67,x5,x3,x4,x1,x2
68,x3,x5,x4,x2,x1
69,x3,x5,x4,x2,x1
70,x3,x5,x4,x1,x2
71,x3,x5,x1,x4,x2
72,x3,x5,x2,x4,x1
73,x3,x4,x2,x5,x1
74,x3,x4,x2,x5,x1
75,x3,x4,x1,x2,x5
76,x3,x5,x4,x2,x1
77,x3,x4,x1,x5,x2
78,x3,x2,x5,x4,x1
79,x3,x5,x4,x1,x2
80,x3,x5,x4,x2,x1
81,x3,x5,x4,x2,x1
82,x3,x4,x5,x2,x1
83,x3,x5,x4,x1,x2
84,x3,x5,x1,x4,x2
85,x3,x4,x2,x5,x1
86,x3,x5,x2,x4,x1
87,x3,x5,x4,x2,x1
88,x5,x3,x4,x1,x2
89,x3,x4,x2,x5,x1
90,x3,x5,x4,x2,x1
91,x3,x4,x2,x5,x1
92,x5,x3,x4,x2,x1
93,x3,x4,x5,x2,x1
94,x3,x4,x5,x1,x2
95,x3,x5,x2,x4,x1
96,x3,x4,x5,x1,x2
97,x3,x5,x4,x1,x2
98,x3,x5,x4,x1,x2
99,x5,x4,x3,x2,x1
