,1,2,3,4,5
0,x3,x2,x4,x1,x5
1,x3,x4,x5,x1,x2
2,x3,x4,x5,x2,x1
3,x3,x1,x2,x4,x5
4,x1,x2,x3,x4,x5
5,x3,x4,x1,x5,x2
6,x1,x2,x3,x5,x4
7,x3,x4,x2,x5,x1
8,x5,x4,x3,x2,x1
9,x4,x3,x5,x1,x2
10,x3,x5,x4,x2,x1
11,x4,x1,x3,x2,x5
12,x4,x3,x2,x5,x1
13,x5,x2,x4,x3,x1
14,x3,x4,x5,x1,x2
15,x3,x5,x2,x4,x1
16,x5,x2,x1,x3,x4
17,x3,x2,x1,x5,x4
18,x4,x1,x3,x2,x5
19,x1,x4,x3,x2,x5
20,x3,x1,x2,x4,x5
21,x3,x4,x2,x5,x1
22,x1,x4,x5,x3,x2
23,x4,x3,x1,x5,x2
24,x4,x3,x2,x5,x1
25,x4,x3,x2,x1,x5
26,x5,x3,x2,x4,x1
27,x4,x3,x5,x2,x1
28,x4,x5,x3,x2,x1
29,x3,x4,x2,x1,x5
30,x3,x4,x2,x5,x1
31,x3,x4,x2,x5,x1
32,x4,x3,x5,x1,x2
33,x3,x4,x5,x2,x1
34,x3,x4,x1,x5,x2
35,x1,x5,x2,x3,x4
36,x5,x2,x3,x1,x4
37,x4,x3,x5,x1,x2
38,x5,x1,x3,x4,x2
39,x1,x2,x5,x3,x4
40,x4,x3,x2,x5,x1
41,x3,x4,x2,x5,x1
42,x5,x2,x1,x4,x3
43,x4,x1,x2,x5,x3
44,x5,x2,x4,x3,x1
45,x4,x1,x3,x2,x5
46,x2,x1,x5,x4,x3
47,x1,x4,x3,x5,x2
48,x2,x1,x3,x4,x5
49,x1,x5,x2,x4,x3
50,x4,x3,x5,x2,x1
51,x4,x2,x1,x5,x3
52,x5,x2,x4,x3,x1
53,x4,x3,x1,x2,x5
54,x4,x3,x1,x5,x2
55,x3,x4,x5,x2,x1
56,x4,x2,x1,x5,x3
57,x4,x3,x5,x2,x1
58,x4,x3,x5,x1,x2
59,x4,x3,x2,x5,x1
60,x3,x1,x2,x5,x4
61,x4,x3,x1,x5,x2
62,x4,x1,x3,x2,x5
63,x3,x2,x4,x1,x5
64,x1,x5,x4,x2,x3
65,x4,x3,x5,x2,x1
66,x4,x3,x1,x5,x2
67,x1,x4,x5,x3,x2
68,x3,x1,x5,x2,x4
69,x2,x5,x4,x3,x1
70,x2,x5,x3,x4,x1
71,x5,x2,x1,x3,x4
72,x5,x4,x1,x2,x3
73,x4,x3,x2,x5,x1
74,x5,x2,x1,x4,x3
75,x3,x4,x2,x1,x5
76,x3,x1,x5,x4,x2
77,x4,x1,x5,x2,x3
78,x5,x1,x4,x2,x3
79,x4,x3,x5,x2,x1
80,x3,x5,x1,x4,x2
81,x4,x3,x1,x5,x2
82,x5,x1,x3,x4,x2
83,x3,x4,x5,x1,x2
84,x3,x4,x1,x5,x2
85,x3,x1,x4,x5,x2
86,x2,x4,x3,x5,x1
87,x4,x3,x5,x1,x2
88,x4,x3,x2,x1,x5
89,x4,x3,x1,x5,x2
90,x3,x2,x4,x5,x1
91,x4,x3,x5,x1,x2
92,x1,x5,x4,x3,x2
93,x5,x2,x1,x4,x3
94,x3,x4,x1,x5,x2
95,x3,x5,x1,x2,x4
96,x3,x4,x5,x2,x1
97,x3,x1,x2,x5,x4
98,x3,x4,x2,x5,x1
99,x3,x4,x1,x5,x2
