,1,2,3,4,5
0,x3,x4,x5,x2,x1
1,x3,x5,x4,x1,x2
2,x4,x3,x1,x5,x2
3,x4,x5,x1,x3,x2
4,x4,x3,x5,x2,x1
5,x3,x4,x5,x1,x2
6,x3,x1,x4,x5,x2
7,x5,x4,x3,x1,x2
8,x4,x3,x5,x1,x2
9,x4,x3,x5,x2,x1
10,x4,x5,x3,x2,x1
11,x4,x3,x1,x5,x2
12,x3,x4,x2,x1,x5
13,x4,x3,x5,x1,x2
14,x4,x3,x5,x1,x2
15,x3,x4,x5,x1,x2
16,x4,x3,x2,x5,x1
17,x3,x4,x5,x1,x2
18,x4,x5,x1,x3,x2
19,x5,x1,x4,x3,x2
20,x3,x4,x5,x1,x2
21,x5,x3,x4,x2,x1
22,x3,x4,x5,x1,x2
23,x3,x4,x2,x5,x1
24,x4,x3,x5,x1,x2
25,x4,x3,x5,x2,x1
26,x4,x3,x2,x1,x5
27,x4,x3,x5,x1,x2
28,x4,x5,x3,x2,x1
29,x3,x4,x5,x1,x2
30,x5,x3,x4,x1,x2
31,x3,x4,x5,x2,x1
32,x4,x5,x3,x2,x1
33,x4,x3,x5,x1,x2
34,x4,x3,x1,x2,x5
35,x4,x3,x5,x1,x2
36,x3,x4,x5,x2,x1
37,x4,x3,x5,x1,x2
38,x3,x4,x5,x2,x1
39,x4,x3,x5,x2,x1
40,x4,x3,x5,x2,x1
41,x3,x4,x5,x2,x1
42,x3,x4,x5,x1,x2
43,x3,x4,x5,x1,x2
44,x4,x3,x5,x1,x2
45,x4,x3,x5,x1,x2
46,x4,x5,x3,x2,x1
47,x4,x3,x5,x2,x1
48,x3,x5,x4,x1,x2
49,x4,x3,x5,x1,x2
50,x4,x3,x5,x1,x2
51,x4,x3,x5,x1,x2
52,x4,x5,x3,x2,x1
53,x3,x5,x4,x1,x2
54,x4,x3,x1,x5,x2
55,x4,x3,x1,x5,x2
56,x4,x3,x5,x2,x1
57,x4,x3,x5,x2,x1
58,x3,x4,x5,x2,x1
59,x3,x4,x5,x2,x1
60,x4,x5,x3,x2,x1
61,x4,x1,x2,x3,x5
62,x4,x3,x1,x5,x2
63,x4,x3,x2,x5,x1
64,x4,x3,x5,x2,x1
65,x5,x3,x4,x2,x1
66,x4,x3,x5,x1,x2
67,x3,x5,x4,x2,x1
68,x4,x3,x5,x1,x2
69,x3,x5,x4,x1,x2
70,x4,x3,x5,x1,x2
71,x4,x3,x5,x2,x1
72,x3,x4,x5,x2,x1
73,x4,x3,x5,x1,x2
74,x4,x3,x1,x5,x2
75,x4,x3,x5,x1,x2
76,x4,x3,x5,x2,x1
77,x3,x4,x5,x1,x2
78,x3,x4,x5,x2,x1
79,x4,x3,x5,x1,x2
80,x3,x4,x1,x2,x5
81,x4,x3,x2,x1,x5
82,x4,x5,x3,x1,x2
83,x4,x3,x5,x1,x2
84,x4,x5,x3,x2,x1
85,x4,x3,x5,x1,x2
86,x4,x5,x3,x1,x2
87,x3,x5,x4,x1,x2
88,x3,x4,x5,x1,x2
89,x4,x3,x5,x2,x1
90,x4,x3,x5,x1,x2
91,x4,x3,x5,x2,x1
92,x4,x3,x5,x2,x1
93,x4,x3,x5,x2,x1
94,x3,x4,x1,x2,x5
95,x4,x3,x2,x5,x1
96,x3,x4,x5,x1,x2
97,x4,x3,x2,x1,x5
98,x4,x5,x3,x1,x2
99,x3,x4,x5,x2,x1
