Variables;Definitions
heeye;Is your eyesight (using glasses or corrective lens as usual) ... ?
hefrnd;How good is your eyesight for seeing things at a distance, like recognising a fr
hepap;How good is your eyesight for seeing things up close, like reading ordinary news
hecat;Have you ever had cataract surgery?
psceda;Much of the time during the past week, have you felt depressed?
pscedb;Much of the time during the past week, have you felt that everything you did was
pscedc;Much of the time during the past week, has your sleep been restless?
pscedd;Much of the time during the past week, were you happy?
pscede; Much of the time during the past week, have you felt lonely?
pscedf; Much of the time during the past week, have you enjoyed life?
pscedg;Much of the time during the past week, have you felt sad?
pscedh;Much of the time during the past week, could you not get going?
scghqa; have you recently been able to concentrate on whatever you're doing?
scghqb;Have you recently lost much sleep over worry?
scghqc;Have you recently felt you were playing a useful part in things
scghqd; Have you recently felt capable of making decisions
scghqe;Have you recently felt constantly under strain
scghqf;Have you recently felt you couldn't overcome your difficulties
scghqg;Have you recently been able to enjoy your normal day-to-day activities
scghqh;Have you recently been able to face up to your problems
scghqi; Have you recently been feeling unhappy and depressed
scghqj;Have you recently been losing confidence in yourself
scghqk;Have you recently been thinking of yourself as a worthless person
scghql;Have you recently been feeling reasonably happy, all things considered
hebal;How often do you have problems with keeping your balance when you are walking on
hediz;How often do you have problems with dizziness when you are walking on a level su
hepain;Are you often troubled with pain?
hepaa;How bad is the pain most of the time? Is it   ?
hebck;How would you rate the pain) in your back? 
hehip;How would you rate the pain) in your hips? 
hekne;How would you rate the pain) in your knees?
hefet; How would you rate the pain) in your feet? 
hefla;Have you fallen down in the last two years (for any  reason)?
heflb;How many times have you fallen down in the last two years?
heflc;In [that fall/any of the falls] did you injure yourself seriously enough to need
stroke; Have you ever experienced stroke? 
diabetes;Have you ever been diagnosed with diabetes?
lungc;Have you ever been diagnosed with long conditions?
asthmae;Have you ever been diagnosed with asthma?
arthre;Have you ever been diagnosed with arthreates?
cancer;Have you ever been diagnosed with cancer?
parkine;Have you ever been diagnosed with partkisons disease?
hearte;Have you ever been diagnosed with heart diseases?
srhhrs;How would you describe your health?
lsill;Do you have a persistent and debilitating health condition?
dhager;Age variable from HH grid collapsed at 90 plus
gender;Gender
dimar;Current marital status
edqual;Highest Educational Qualification at ELSA W1
